scan_index,test_gray,power_frame_1,power_frame_2,power_frame_3,power_mean,power_std,background_frame_1,background_frame_2,background_frame_3,background_mean,peak_frame_1,peak_frame_2,peak_frame_3,peak_max,saturated_frame_1,saturated_frame_2,saturated_frame_3,saturated_total,elapsed_s
75,180,871814.0,870044.0,872180.0,871346.0,1142.3186945857096,0.0,0.0,0.0,0.0,31,30,30,31,0,0,0,0,111.01199009999982
76,179,912412.0,912457.0,910897.0,911922.0,887.9611477987086,0.0,0.0,0.0,0.0,32,31,32,32,0,0,0,0,112.46376109999983
77,178,950790.0,949738.0,949707.0,950078.3333333334,616.5162879708315,0.0,0.0,0.0,0.0,32,33,33,33,0,0,0,0,113.9150437999997
78,177,991731.0,990318.0,993539.0,991862.6666666666,1614.5316142254178,0.0,0.0,0.0,0.0,35,34,35,35,0,0,0,0,115.3627351999985
79,176,1034719.0,1032183.0,1033227.0,1033376.3333333334,1274.5781001309153,0.0,0.0,0.0,0.0,36,35,35,36,0,0,0,0,116.8190657999985
80,175,1077667.0,1075230.0,1076075.0,1076324.0,1237.4340386461008,0.0,0.0,0.0,0.0,38,37,37,38,0,0,0,0,118.28214689999913
81,174,1120101.0,1120677.0,1119851.0,1120209.6666666667,423.58627613903326,0.0,0.0,0.0,0.0,38,38,39,39,0,0,0,0,119.7485388999994
82,173,1167623.0,1165929.0,1165920.0,1166490.6666666667,980.6397571653584,0.0,0.0,0.0,0.0,40,40,40,40,0,0,0,0,121.1924283999997
83,172,1213775.0,1212379.0,1213662.0,1213272.0,775.421820688585,0.0,0.0,0.0,0.0,42,40,42,42,0,0,0,0,122.63890919999903
84,171,1262519.0,1262973.0,1261331.0,1262274.3333333333,847.9017238650557,0.0,0.0,0.0,0.0,44,43,43,44,0,0,0,0,124.04030079999939
85,170,1313285.0,1312043.0,1312175.0,1312501.0,682.164203106554,0.0,0.0,0.0,0.0,44,46,46,46,0,0,0,0,125.5191079999986
86,169,1361926.0,1363279.0,1364055.0,1363086.6666666667,1077.4527058452882,0.0,0.0,0.0,0.0,46,47,46,47,0,0,0,0,126.98003459999927
87,168,1418019.0,1418250.0,1416162.0,1417477.0,1144.6654533093938,0.0,0.0,0.0,0.0,50,48,47,50,0,0,0,0,128.44158069999867
88,167,1468186.0,1468911.0,1468760.0,1468619.0,382.51405202946466,0.0,0.0,0.0,0.0,50,52,49,52,0,0,0,0,129.8943150999985
89,166,1528305.0,1526621.0,1524892.0,1526606.0,1706.5494425887578,0.0,0.0,0.0,0.0,50,53,52,53,0,0,0,0,131.3753676999986
90,165,1583329.0,1579813.0,1583027.0,1582056.3333333333,1948.642946599847,0.0,0.0,0.0,0.0,54,53,55,55,0,0,0,0,132.82150159999946
91,164,1639943.0,1638795.0,1638363.0,1639033.6666666667,816.5912890383618,0.0,0.0,0.0,0.0,56,55,56,56,0,0,0,0,134.28170169999976
92,163,1699440.0,1696889.0,1697962.0,1698097.0,1280.8469853967724,0.0,0.0,0.0,0.0,58,56,59,59,0,0,0,0,135.73354459999973
93,162,1759781.0,1757826.0,1755948.0,1757851.6666666667,1916.628898178605,0.0,0.0,0.0,0.0,59,60,60,60,0,0,0,0,137.18254909999996
94,161,1817573.0,1819419.0,1822358.0,1819783.3333333333,2413.215766012922,0.0,0.0,0.0,0.0,63,60,63,63,0,0,0,0,138.6411520999991
95,160,1883793.0,1880238.0,1882279.0,1882103.3333333333,1783.9984118079628,0.0,0.0,0.0,0.0,64,65,65,65,0,0,0,0,140.0891976999992
96,159,1949592.0,1946906.0,1952356.0,1949618.0,2725.093025935078,0.0,0.0,0.0,0.0,67,66,65,67,0,0,0,0,141.55018089999976
97,158,2017906.0,2020527.0,2015533.0,2017988.6666666667,2498.0260874004766,0.0,0.0,0.0,0.0,69,68,68,69,0,0,0,0,143.02236579999953
98,157,2083320.0,2082727.0,2085778.0,2083941.6666666667,1617.7151582813747,0.0,0.0,0.0,0.0,70,69,69,70,0,0,0,0,144.4714626999994
99,156,2151598.0,2154537.0,2155143.0,2153759.3333333335,1896.1356315763207,0.0,0.0,0.0,0.0,74,73,74,74,0,0,0,0,145.9321648999994
100,155,2221350.0,2225692.0,2222782.0,2223274.6666666665,2212.528267239389,0.0,0.0,0.0,0.0,77,77,76,77,0,0,0,0,147.3257536000001
101,154,2286756.0,2291301.0,2290046.0,2289367.6666666665,2347.20223528637,0.0,0.0,0.0,0.0,76,79,78,79,0,0,0,0,148.80109569999877
102,153,2365880.0,2363440.0,2362978.0,2364099.3333333335,1559.3079661610573,0.0,0.0,0.0,0.0,79,80,81,81,0,0,0,0,150.28488779999861
103,152,2434866.0,2435229.0,2432865.0,2434320.0,1273.0714826748733,0.0,0.0,0.0,0.0,81,83,81,83,0,0,0,0,151.77482419999978
104,151,2512416.0,2514579.0,2509729.0,2512241.3333333335,2429.713220389051,0.0,0.0,0.0,0.0,86,86,86,86,0,0,0,0,153.23788269999932
105,150,2585022.0,2587659.0,2585358.0,2586013.0,1435.3435128916005,0.0,0.0,0.0,0.0,86,87,86,87,0,0,0,0,154.7070291
106,149,2664507.0,2661283.0,2661754.0,2662514.6666666665,1741.408720930653,0.0,0.0,0.0,0.0,90,91,91,91,0,0,0,0,156.18133659999876
107,148,2743850.0,2742563.0,2741043.0,2742485.3333333335,1405.1107904123908,0.0,0.0,0.0,0.0,89,92,89,92,0,0,0,0,157.65577399999893
108,147,2816634.0,2815516.0,2815584.0,2815911.3333333335,626.7705587639973,0.0,0.0,0.0,0.0,93,92,94,94,0,0,0,0,159.1190706999987
109,146,2902245.0,2898637.0,2897142.0,2899341.3333333335,2623.397860282221,0.0,0.0,0.0,0.0,97,99,98,99,0,0,0,0,160.59037609999905
110,145,2980543.0,2979182.0,2984024.0,2981249.6666666665,2497.1532458648453,0.0,0.0,0.0,0.0,102,101,99,102,0,0,0,0,162.06828159999895
111,144,3063021.0,3061831.0,3060135.0,3061662.3333333335,1450.3742045876756,0.0,0.0,0.0,0.0,103,103,101,103,0,0,0,0,163.5475907
112,143,3146394.0,3149739.0,3145914.0,3147349.0,2083.668639683383,0.0,0.0,0.0,0.0,104,105,109,109,0,0,0,0,165.01388619999852
113,142,3228327.0,3226577.0,3231163.0,3228689.0,2314.331869028295,0.0,0.0,0.0,0.0,107,107,107,107,0,0,0,0,166.4963802000002
114,141,3318031.0,3322753.0,3321873.0,3320885.6666666665,2511.0637851980846,0.0,0.0,0.0,0.0,109,111,111,111,0,0,0,0,167.95768309999949
115,140,3401951.0,3403473.0,3399988.0,3401804.0,1747.1442413263994,0.0,0.0,0.0,0.0,113,115,112,115,0,0,0,0,169.44876399999885
116,139,3489549.0,3487695.0,3489672.0,3488972.0,1107.6231308527283,0.0,0.0,0.0,0.0,117,118,116,118,0,0,0,0,170.92280629999914
117,138,3575603.0,3577239.0,3569967.0,3574269.6666666665,3814.94814294157,0.0,0.0,0.0,0.0,117,119,118,119,0,0,0,0,172.39746539999942
118,137,3662152.0,3669598.0,3668333.0,3666694.3333333335,3984.300482309703,0.0,0.0,0.0,0.0,121,123,122,123,0,0,0,0,173.86496559999978
119,136,3755762.0,3754849.0,3753378.0,3754663.0,1202.8345688414513,0.0,0.0,0.0,0.0,123,123,129,129,0,0,0,0,175.3404690999996
