gray,time_s,power_raw,reference_power_interpolated,power_corrected,peak,saturated,background
217,21.95311369999945,85852.0,6681838.1889531715,0.012848560167460481,5,0,0.0
216,22.473388099999283,93101.0,6680660.620297624,0.01393589725500116,6,0,0.0
215,22.998692799999844,101651.0,6679471.666258501,0.015218419222210684,5,0,0.0
214,23.519954399998824,110997.0,6678291.863213225,0.01662056739559663,7,0,0.0
213,24.050570699999298,119154.0,6677090.887107149,0.017845196660431186,7,0,0.0
212,24.581674799999746,129891.0,6675888.8069337,0.019456735088980635,7,0,0.0
211,25.11382909999884,141610.0,6674684.349778796,0.021215984543852335,7,0,0.0
210,25.64121349999914,152786.0,6673490.688628323,0.02289446515005235,8,0,0.0
209,26.168692600000213,164511.0,6672296.813137587,0.024655827611877505,7,0,0.0
208,26.70016399999986,177397.0,6671093.901631737,0.026591890717744062,9,0,0.0
207,27.764574599999833,190802.0,6668560.093784234,0.02861217374015218,9,0,0.0
206,28.292441800000233,204157.0,6667241.556781863,0.03062090945127572,10,0,0.0
205,28.824370700000145,220805.0,6665912.87423201,0.0331244953490994,10,0,0.0
204,29.349045099999785,234848.0,6664602.312388812,0.03523811159196125,11,0,0.0
203,29.874775499998577,251231.0,6663289.112808181,0.037703751967940805,10,0,0.0
202,30.403335699998934,267656.0,6661968.844790618,0.04017671145509722,11,0,0.0
201,30.930510799998956,285450.0,6660652.036555368,0.042856164596705715,12,0,0.0
200,31.458651400000235,303333.0,6659332.816638777,0.04555005859477435,12,0,0.0
199,31.98537209999995,322220.0,6658017.14342994,0.04839579007662413,13,0,0.0
198,32.51535799999874,342516.0,6656693.314217057,0.051454375893879654,14,0,0.0
197,33.043475899999976,363647.0,6655374.151001829,0.05463960278555646,14,0,0.0
196,33.57334069999888,385447.0,6654050.6242794795,0.05792667080012445,15,0,0.0
195,34.105343999999604,407021.0,6652721.755889033,0.06118112479898958,16,0,0.0
194,34.63598929999898,430196.0,6651396.279588966,0.06467754767824248,17,0,0.0
193,35.16519460000018,455299.0,6650074.400203579,0.06846524904835079,17,0,0.0
192,35.69356429999971,480273.0,6648754.608027857,0.07223503171858794,18,0,0.0
191,36.72805189999963,506878.0,6645488.386249765,0.07627400283307777,19,0,0.0
190,37.24868069999866,533010.0,6643499.857572623,0.08023030201354579,19,0,0.0
