gray,time_s,power,background,peak,saturated
179,40.61071820000052,4462370.0,0.0,42,0
178,41.137870000000476,4667990.0,0.0,44,0
177,41.664064900000085,4883116.0,0.0,45,0
176,42.18507490000047,5114361.0,0.0,48,0
175,42.71105549999993,5337314.0,0.0,50,0
174,43.234438299999965,5549409.0,0.0,51,0
173,43.76795840000068,5803282.0,0.0,54,0
172,44.299030300000595,6020542.0,0.0,55,0
171,44.82571700000062,6286936.0,0.0,56,0
170,45.351489100000435,6540512.0,0.0,60,0
169,45.87762610000027,6793877.0,0.0,62,0
168,46.39604229999986,7065384.0,0.0,63,0
167,46.92730490000031,7374873.0,0.0,65,0
166,47.45839220000016,7617499.0,0.0,67,0
165,47.98343879999993,7929799.0,0.0,70,0
164,48.51341320000029,8206776.0,0.0,74,0
163,49.03627030000007,8509696.0,0.0,75,0
162,49.56856180000068,8839687.0,0.0,78,0
161,50.09795100000065,9149115.0,0.0,80,0
160,50.62187679999988,9501996.0,0.0,86,0
159,51.14993570000024,9835797.0,0.0,87,0
158,51.67693790000067,10169197.0,0.0,88,0
157,52.20099140000002,10529042.0,0.0,93,0
156,52.73207160000038,10897752.0,0.0,95,0
155,53.26080989999991,11206547.0,0.0,97,0
154,53.78702430000067,11597814.0,0.0,99,0
153,54.31329790000018,11942086.0,0.0,103,0
152,54.84204270000009,12331448.0,0.0,107,0
151,55.3668447,12762110.0,0.0,109,0
150,55.89324350000061,13112405.0,0.0,111,0
149,56.41343490000054,13513782.0,0.0,114,0
148,56.94282569999996,13982721.0,0.0,119,0
147,57.46747400000004,14394530.0,0.0,120,0
146,57.99038230000042,14775090.0,0.0,122,0
145,58.51950470000065,15210178.0,0.0,123,0
144,59.03668790000029,15621948.0,0.0,125,0
143,59.562991599999805,16094971.0,0.0,129,0
142,60.09180970000034,16516644.0,0.0,133,0
141,60.617135500000586,16954635.0,0.0,137,0
140,61.141705099999854,17405029.0,0.0,140,0
139,61.663151600000674,17893909.0,0.0,143,0
138,62.18737409999994,18333326.0,0.0,147,0
137,62.719022600000244,18719818.0,0.0,146,0
136,63.257246099999975,19211214.0,0.0,149,0
135,63.790328000000045,19747258.0,0.0,157,0
134,64.31590120000055,20172142.0,0.0,157,0
133,64.8535093999999,20643646.0,0.0,160,0
132,65.38369779999994,21109543.0,0.0,161,0
131,65.9241931000006,21509551.0,0.0,168,0
130,66.4565591999999,22000017.0,0.0,166,0
129,66.97875660000045,22404342.0,0.0,172,0
128,67.50550170000042,22947293.0,0.0,174,0
127,68.03364539999984,23428509.0,0.0,174,0
126,68.55806470000061,23804655.0,0.0,177,0
125,69.07886529999996,24324503.0,0.0,181,0
124,69.60529279999992,24837742.0,0.0,184,0
123,70.13174200000049,25300318.0,0.0,182,0
122,70.65247480000016,25688627.0,0.0,188,0
121,71.17476679999982,26123404.0,0.0,190,0
120,71.69974760000059,26563763.0,0.0,192,0
119,72.22644070000024,27039050.0,0.0,194,0
118,72.75455140000031,27493075.0,0.0,199,0
117,73.28299590000006,27764156.0,0.0,196,0
116,73.81427560000066,28336384.0,0.0,199,0
115,74.34160250000059,28587409.0,0.0,202,0
114,74.86923780000052,29061218.0,0.0,202,0
113,75.38648170000033,29444034.0,0.0,206,0
112,75.91578879999997,29754598.0,0.0,208,0
111,76.44176380000044,30016913.0,0.0,207,0
110,76.97021959999984,30336893.0,0.0,211,0
109,77.49590500000068,30722311.0,0.0,212,0
108,78.02654230000007,30967983.0,0.0,208,0
107,78.54298840000047,31291854.0,0.0,214,0
106,79.07209870000042,31508923.0,0.0,218,0
105,79.59845570000016,31663249.0,0.0,218,0
104,80.13052669999979,31838689.0,0.0,216,0
103,80.6471459000004,32195552.0,0.0,218,0
102,81.17648199999985,32319574.0,0.0,214,0
101,81.69586479999998,32378938.0,0.0,216,0
100,82.23699100000067,32580254.0,0.0,219,0
99,82.76580869999998,32618447.0,0.0,218,0
98,83.29733560000022,32782043.0,0.0,217,0
97,83.83106300000054,32747703.0,0.0,215,0
96,84.35748870000043,32933969.0,0.0,218,0
95,84.88544760000059,32744909.0,0.0,219,0
94,85.42151400000057,32836798.0,0.0,217,0
93,85.95815519999996,32746733.0,0.0,215,0
92,86.48783080000067,32677843.0,0.0,217,0
91,87.01816460000009,32598318.0,0.0,212,0
90,87.54265010000017,32407022.0,0.0,218,0
89,88.07617699999992,32266931.0,0.0,214,0
88,88.60125260000041,32034102.0,0.0,211,0
87,89.13036400000055,31792262.0,0.0,211,0
86,89.65529770000012,31667020.0,0.0,208,0
85,90.18119240000033,31354291.0,0.0,211,0
84,90.70282620000035,31035784.0,0.0,206,0
83,91.2260068000005,30662672.0,0.0,201,0
82,91.74490160000005,30338151.0,0.0,198,0
81,92.26843960000042,29902620.0,0.0,197,0
80,92.78899120000005,29526487.0,0.0,197,0
79,93.3129485999998,29126299.0,0.0,196,0
78,93.83653680000043,28606776.0,0.0,193,0
77,94.36610990000008,28107440.0,0.0,186,0
76,94.89451110000027,27529847.0,0.0,190,0
75,95.4222875000005,27043887.0,0.0,185,0
74,95.95006920000014,26329040.0,0.0,176,0
73,96.47489210000003,25850169.0,0.0,174,0
72,97.00089610000032,25175321.0,0.0,170,0
71,97.52863080000043,24489656.0,0.0,170,0
70,98.05727250000018,23921806.0,0.0,166,0
69,98.58550819999982,23093162.0,0.0,156,0
68,99.11274460000004,22461331.0,0.0,151,0
67,99.63897520000046,21870509.0,0.0,154,0
66,100.1634111000003,21050538.0,0.0,144,0
65,100.68916400000035,20303382.0,0.0,143,0
64,101.2152673999999,19599957.0,0.0,139,0
63,101.74039140000059,18815732.0,0.0,132,0
62,102.26594260000002,17958170.0,0.0,125,0
61,102.7913582000001,17225554.0,0.0,120,0
60,103.32041740000022,16447238.0,0.0,117,0
59,103.85140080000019,15633032.0,0.0,112,0
58,104.37167659999977,14832698.0,0.0,105,0
57,104.89834100000007,13968763.0,0.0,100,0
56,105.42588280000018,13208371.0,0.0,94,0
55,105.95578340000066,12318755.0,0.0,86,0
54,106.47789960000046,11565075.0,0.0,80,0
53,107.00523020000037,10784811.0,0.0,77,0
52,107.53074970000034,9936996.0,0.0,68,0
51,108.06059520000053,9223310.0,0.0,66,0
50,108.5855848000001,8471673.0,0.0,59,0
49,109.11421470000005,7689822.0,0.0,52,0
48,109.6367639,7024741.0,0.0,47,0
47,110.1626268,6308354.0,0.0,42,0
46,110.6938197999998,5626216.0,0.0,36,0
45,111.22146150000026,5016167.0,0.0,32,0
44,111.75236459999996,4401165.0,0.0,30,0
43,112.28219970000009,3851515.0,0.0,27,0
42,112.81859340000028,3314165.0,0.0,25,0
41,113.35657730000003,2797792.0,0.0,24,0
40,113.89210830000047,2349689.0,0.0,21,0
39,114.43956880000042,1914249.0,0.0,19,0
38,114.96228340000016,1532902.0,0.0,17,0
37,115.48911980000048,1178696.0,0.0,15,0
36,116.0163050000001,881569.0,0.0,14,0
35,116.53876920000039,634827.0,0.0,12,0
34,117.06988150000052,427093.0,0.0,10,0
33,117.59883380000065,295821.0,0.0,8,0
32,118.13060200000018,211815.0,0.0,8,0
